Author(S),Original Language,Approximate Sales,First Published,Book Title
Daisy Meadows,English,20000000,2003,Rainbow Magic
Louis Masterson,Norwegian,20000000,1966,Morgan Kane
Charlaine Harris,English,20000000,2001,The Southern Vampire Mysteries
"Lester Dent, various authors",English,20000000,1933,Doc Savage
Nagaru Tanigawa,Japanese,20000000,2003,涼宮ハルヒシリーズ (Haruhi Suzumiya Series)
Anita Głowińska [pl],Polish,20000000,2010,Kicia Kocia (seria książek) [pl]
"Tomiyasu Takahara, Various authors",Japanese,19000000,1975,一億人の昭和史 (1-oku nin no Shōwa shi / Shōwa History of 100 million people)
Various authors,Japanese,19000000,1970,科学のアルバム (Kagaku no album / Science's Album)
Shotaro Ikenami,Japanese,18000000,1972,剣客商売 (Kenkaku Shōbai)
Boris Akunin,Russian,18000000,1998,Erast Fandorin series
Anne McCaffrey,English,18000000,1967,Dragonriders of Pern
Hideyuki Kikuchi,Japanese,17000000,1983,吸血鬼ハンターD (Vampire Hunter D)
"Douglas Adams, plus a final book by Eoin Colfer",English,16000000,1979,The Hitchhiker's Guide to the Galaxy
Osamu Soda,Japanese,15000000,1985,ぼくらシリーズ [ja] (Bokura series)
Helen Fielding,English,15000000,1996,Bridget Jones
Yoshiki Tanaka,Japanese,15000000,1982,銀河英雄伝説 (Legend of the Galactic Heroes)
Alexander McCall Smith,English,15000000,1999,The No. 1 Ladies Detective Agency
Marcus Pfister,German,15000000,1992,Der Regenbogenfisch (Rainbow Fish)
Raymond E. Feist,English,15000000,1982,The Riftwar Cycle
Timothy Zahn,English,15000000,1991,The Thrawn trilogy
Andrzej Sapkowski,Polish,15000000,1990,Wiedźmin (The Witcher)
Kazuo Iwamura [ja],Japanese,15000000,1983,14ひきのシリーズ [ja] (The family of fourteen)
Chief editor: Wei Jiangong,Chinese,567000000,1957,新华字典 (Xinhua Zidian / Xinhua Dictionary)
Robert Baden-Powell,English,100000000,1908,Scouting for Boys
William Holmes McGuffey,English,125000000,1853,The McGuffey Readers
Various authors,English,115000000,1955,Guinness World Records (published every year)
Kazuko Hosoki Kaori Hosoki,Japanese,101200000,1986,六星占術によるあなたの運命 (Rokusei Senjutsu (Six-Star Astrology) Tells Your Fortune)
Noah Webster,English,100000000,1783,American Spelling Book (Webster's Dictionary)
Various authors,English,82000000,1868,World Almanac (published every year)
General Mills staff,English,75000000,1950,Betty Crocker Cookbook
"Choi Park Lai's family, among others",Chinese,70000000,1891,Tung Shing (Chinese: 通勝)
Merriam-Webster,English,55000000,1898,Merriam-Webster's Collegiate Dictionary
Peter Mark Roget,English,40000000,1852,Roget's Thesaurus
